
2-vessel coronary artery disease,0581375
Hypotonic,1579769
Hypoxia,0242184
Hypoxic respiratory failure,UI-less
ICH,2937358
IGA nephropathy,0017661
IMI,0340305
INR decreased,UI-less
INR reversed,UI-less
INR,UI-less
IVDA,UI-less
IgA diagnosed,UI-less
IgA nephropathy,0017661
Ileus,1258215
Improved aeration,UI-less
Inability to drink,UI-less
Inability to eat,UI-less
Inability to pass gas,0426631
Inability to pass stool,UI-less
Increased LFTs,UI-less
Insulin dependent diabetes mellitus,0011854
Intact to light touch,UI-less
Intraventricular conduction delay,UI-less
Intraventricular hemorrhage,0240059
Iron low,UI-less
Irreg,UI-less
Irregular rate,UI-less
Irregular rhythm,UI-less
Irregular,UI-less
Ischemia,0022116
JVD,UI-less
JVP flat,UI-less
JVP,UI-less
Kidney stone,0022650
Klebsiella pneumonia,0519030
Klebsiella,UI-less
Knee swollen,UI-less
L sided hearing loss,0521785
L sided pressure,UI-less
LA enlargement,0238705
LA enlargement,0344720
LAD,UI-less
LBBB,0023211
LE cellulitis,0343024
LE edema,0239340
LLL PNA,0584104
LMCA disease,1299433
LV  dysfunction,UI-less
LV diastolic dysfunction,1273070
LV systolic function depressed,UI-less
LV wall motion abnormalities,UI-less
LV wall motion abnormality,UI-less
LVH,0149721
Laminar necrosis,0333517
Large B-cell lymphoma high grade,0456867
Left anterior fascicular block,0264912
Left bundle-branch block,0023211
Left ventricular function,UI-less
Leftward mediastinal shift,UI-less
Lethargy,0023380
Leukocytosis,0023518
Liver cirrhosis,0023890
Loose tooth,UI-less
Loss of consciousness,UI-less
Lower GI bleed,0024050
Lung cancer,0684249
Lyme disease,0024198
Lyme,0024198
M,UI-less
MCA infarct,0740392
MCA infarction,0740392
MI,0027051
MITRAL STENOSIS,0026269
MM dry,0854113
MR,0026266
MRG,UI-less
MRGs,UI-less
MRSA,0343401
MS changes,0278061
MS,0026269
MSSA sepsis,UI-less
MVP,0026267
MYOCARDIAL INFARCTION,0027051
Malnutrition,0162429
Melanoma,0025202
Melena,0025222
Meningitis,0025289
Methicillin-resistant Staphylococcus aureus bacteremia,0343401
Microcytic anemia,0085576
Mitral Regurgitation,0026266
Mitral regurgitation,0026266
Mucous membranes dry,0854113
Multiple renal cysts,0431718
Murmur,UI-less
Murmurs,UI-less
Mycoplasma pneumonia,0032302
N,0027497
NAD,UI-less
NET,0206093
NG Tube curled,UI-less
NIDDM,0011860
NS,0028081
NSCLC,0007131
NSR,UI-less
NSTEMI,1276061
NSVT,2919575
NTND,UI-less
Nephrolithiasis,0392525
Neuro deficits,UI-less
Neuro status,UI-less
Neuroectodermal tumor,0206093
Non-Insulin-dependent diabetes mellitus,0011860
Non-cardiac chest pain,0476281
Non-small cell lung cancer,0007131
Noninsulin dependent diabetes mellitus,0011860
Noninsulin-dependent diabetes mellitus,0011860
Nonsustained ventricular tachycardia,2919575
Nontender,UI-less
O2 sats,UI-less
OA,0029408
OCR,UI-less
OSA,0520679
OSTEOPOROSIS,0029456
Obesity,0028754
Obstipation,0221152
Osteoarthritis,0029408
Osteomyelitis,0029443
Osteophytes,1956089
Osteoporosis,0029456
PA systolic pressure,UI-less
PAF,0235480
PAfib,0235480
PCP pneumonia,0032305
PCP,0032305
PDA,0013274
PE,0034065
PEA arrest,UI-less
PFO,0016522
PM failure to capture,0340923
PNA,0032285
PND,1956415
PNEUMONIA,0032285
PR,0034088
PTSD,0038436
PVCs,0151636
PVD,0085096
Pain,0030193
Pale mucosa,UI-less
Pancreatitis,0030305
Pancytopenia,0030312
Parkinson's Disease,0030567
Parkinson's disease,0030567
Parkinson's,0030567
Parkinsons,0030567
Pericardial effusion,0031039
Peripheral vascular disease,0085096
Pneumonia bacterial,0004626
Pneumonia,0032285
Polycystic kidney disease,0022680
Polymyalgia rheumatica,0032533
Polysubstance abuse,0747752
Polysubstance overdose,1571836
Poor R wave progression,UI-less
Portal vein thrombosis,0155773
Postoperative pulmonary edema,0264501
Primary pulmonary HTN,0152171
Primitive Neuroectodermal Tumor,0206663
Primitive Neuroectodermal tumor,0206663
Prominent loops,UI-less
Prostate CA,0376358
Prostate ca,0376358
Psoriasis,0033860
Pulmonary artery hypertension,0020542
Pulmonary embolus,0034065
Pulmonary hypertension,0020542
Pupils reactive,UI-less
R corneal,UI-less
R sided pressure,UI-less
R,0034642
R,0035508
R,UI-less
RA dilated,0344709
RBB blocks,0085615
RBBB,0085615
RC one aneurysm,UI-less
RCA dissection,0340648
RCA occluded,1290385
RCA occlusions,1290385
RCA occlussion,1290385
RCA tortuous,UI-less
RCIA,UI-less
RHF,2939447
RUL septic emboli,1955781
RV function depressed,UI-less
RV hypertrophy,0162770
RV pressure overload,UI-less
RV systolic function depressed,UI-less
RV systolic function,UI-less
RV volume overload,UI-less
RVR,UI-less
Reactive Thrombocytosis,0457506
Rectal adenocarcinoma,0149978
Rectal cancer,0007113
Recurrent ventral hernia,0267717
Redness wounds,0406833
Renal Calculi,0022650
Renal failure,0035078
Resp failure,1145670
Respiratory Failure,1145670
Respiratory distress,0476273
Respiratory failure,1145670
Restless legs syndrome,0035258
Retinal detachments,0339440
Retroperitoneal hematoma,UI-less
Rheumatic heart disease,0035439
Rheumatoid arthritis,0003873
Rhonchi,0035508
Right bundle-branch block,0085615
Right hemiparesis,UI-less
Right inguinal hernia,0262617
Right ventricular systolic   function depressed,UI-less
Right ventricular systolic function normal,UI-less
Right ventricular systolic function,UI-less
Rubs,UI-less
SAH,0038525
SBP,0275551
SCD,0002895
SEM,UI-less
SEPSIS,0243026
SHORTNESS OF BREATH,0013404
SI,UI-less
SKIN lesions,0037284
SKULL FRACTURE,0037304
SOB,0013404
SR,UI-less
SSCP,0151826
ST changes,UI-less
ST dep,UI-less
ST depressions,UI-less
ST elevation myocardial infarction,1303258
ST elevations,UI-less
ST segment changes,UI-less
ST segment elevations,UI-less
ST wave changes,UI-less
STD,UI-less
STE,UI-less
STEMI,1303258
SVC syndrome,0038833
Sacral decubitus ulcer,0558159
Scarring,0008767
Schizophrenia,0036341
Sciatica,0036396
Seizure d/o,0014544
Seizure disorder,0014544
Seizure,0036572
Seizures,0036572
Sepsis,0243026
Shortness of breath,0013404
Silent MI,0340324
Sinus bradycardia,0085610
Sinus disease,0030469
Sinus tachy,0039239
Sinus tachycardia,0039239
Skin Warm,0235218
Skin dry,0151908
Skin lesions,0037284
Skin warm,0235218
Soft tissue swelling,UI-less
Somnolence,UI-less
Spinal stenosis,0037944
Squamous cell cancer,0007137
St wave changes,UI-less
Stent re-occlusion,UI-less
Steroid Induced Diabetes Mellitus,0589117
Stomach polyp,0236048
Stroke,0038454
Subarachnoid hemorrhage,0038525
Subependymal blood,UI-less
Substance abuse,0740858
Syndrome of inappropriate diuretic hormone,0021141
Sz,0036572
T flattening,UI-less
T wave changes,UI-less
T wave inversions,UI-less
T-wave inversions,UI-less
T2DM,0011860
THROMBOCYTOPENIA,0040034
TIA,0007787
TIBC low,UI-less
TO,UI-less
TR,0040961
TTP,UI-less
Tachycardic,UI-less
Tattoo,0221258
Thin,UI-less
Thrombocytopenia,UI-less
Thrombocytosis,0836924
Thyroid cancer,0007115
Toes mute,UI-less
Toes upgoing,UI-less
Tone decreased,0026827
Tongue fasciculations,0239548
Tonsilar hypertrophy,0155829
Transaminitis,UI-less
Transient ischemic attacks,0007787
Traumatic glaucoma,0339594
Tricuspid regurgitation,0040961
Type 2 diabetes mellitus,0011860
Type 2 diabetes,0011860
Type B aortic dissection,0340647
UGI bleed,0041909
UGIB,0041909
UPPER GASTROINTESTINAL BLEED,0041909
URINARY TRACT INFECTION,0042029
UTI,0042029
Unresponsive to sternal rub,UI-less
Unresponsive to voice,UI-less
Unstable angina,0002965
Upper gastrointestinal bleed,0041909
Urinary retention,UI-less
Urinary tract infection,0042029
V,0042963
VF,0042510
VFib arrest,UI-less
VSD,0018818
Varicosities,0042345
Ventilator Associated Pneumonia,1701940
Vfib arrest,UI-less
Vfib,0042510
Vifib arrest,UI-less
Viral myocarditis,0276138
Vomiting,0042963
W,0043144
WBC decreasing,UI-less
WBC elevated,UI-less
WBC low,UI-less
WOUND INFECTION,0043241
Wheezes,0043144
Wide complex V-tach,0344429
Wound,0043250
Wound,0332803
abcess,0000833
abd nd,UI-less
abd nt,UI-less
abd soft,UI-less
abdomen distended,UI-less
abdomen nondistended,UI-less
abdomen nontender,UI-less
abdomen soft,UI-less
abdomen tender,0232498
abdomen warm,UI-less
abdominal abcess,0243001
abdominal aortic aneurysm,0162871
abdominal discomfort,0232487
abdominal distention,UI-less
abdominal pain,0000737
abdominal stoma,0459683
abdominal tenderness,0232498
abdominla scars,UI-less
able to answer questions,UI-less
abnormal EEG,UI-less
abnormal changes,UI-less
abnormal density,UI-less
abnormal movements,0392702
abnormal septal motion,UI-less
abnormal septal position,UI-less
abnormal stress echocardiogram,UI-less
abnormalities,UI-less
abscess,0000833
absent DTRS,UI-less
achalasia,UI-less
actively suicidal,UI-less
acute bleeding,0333276
acute blood loss,0333276
acute change,UI-less
acute distress,UI-less
acute events,UI-less
acute heart failure,0264714
acute infarct,0333548
acute inferior myocardial infarction,0264700
acute myocardial infarction,0155626
acute process,UI-less
acute pulmonary edema,0155919
acute renal failure,0022660
acute respiratory distress,0748355
acutely intoxicated,0394996
addisons disease,0001403
additional medical issues,UI-less
adhesions,0001511
adomen nondistended,UI-less
adomen nontender,UI-less
adomen obese,UI-less
adomen soft,UI-less
adventitious movements,UI-less
afebril,UI-less
afebrile,UI-less
afferent pupillary defect,0339663
afib,0004238
agitated,0085631
agitation,0085631
akinesis,0085623
alcohol intoxication,0001969
alcohol use,UI-less
alcohol withdrawal seizures,0586323
alcohol withdrawal symptoms,0236663
alcohol withdrawal,0236663
alert moments,UI-less
alert,UI-less
allergy,0020517
allopecia,UI-less
altered mental status,0278061
alzheimer's dementia,0002395
anabolic steroid abuse,0338671
anechoic collection,UI-less
anemia microcytic,0085576
anemia of chronic disease,0002873
anemia of chronic kidney disease,UI-less
anemia,0002871
anemic,0002871
aneurysm,0002940
angina,0002962
anginal,0002962
anicteric,UI-less
ankle swelling,1536390
anomia,0003113
anoxic brain injury,0003132
anticoagulation,UI-less
anuric,0003460
anxiety,0003469
anxiety,UI-less
anxious,UI-less
aortic  root dilated,0238669
aortic aneurysm,0003486
aortic dissection,0340643
aortic dissection,0340646
aortic dissection,0340647
aortic insufficiency,0003504
aortic regurgitation,0003504
aortic root dilatation,0238669
aortic root dilated,0238669
aortic sclerosis,1331537
aortic stenosis,0003507
aortic valve regurgitation,0003504
aortic valve stenosis,0003507
aphagia,0003537
aphagia,UI-less
aphasia,0003537
apneic,0003578
apparent distress,UI-less
apraxia,0003635
arm moving,UI-less
arm pain,0239377
arrest,UI-less
arrhythmia,0003811
arrhythmias,0003811
arrythmias,UI-less
arterial-phase enhancement,UI-less
arteriovenous fistula,0003855
arthritis,0003864
ascending aorta dilated,0345049
ascites,UI-less
asp,0004030
aspergillosis,0004030
aspirating,UI-less
aspiration PNA,0032290
aspiration pneumonia,0032290
aspiration,0700198
aspiration,UI-less
asplenic,0272405
assault,0004063
associated symptoms,0521989
asterixis,0232766
asthma exacerbation,UI-less
asthma,0004096
asymmetric face,UI-less
asymptomatic,UI-less
asystolic,0018790
atelctasis,0004144
atelectasis,0004144
atheroma,0264956
atherosclerotic plaque,0333483
atrial fibrillation,0004238
atrial flutter,0004239
atrial premature beats,0033036
atrial septal defect,0018817
atypical pneumonia,1412002
autonomic instability,UI-less
axillary LAD,0578735
axillary lymphadenopathy,0578735
azotemia,0242528
b-cell lymphoma,0079731
back injury,0004601
back pain,0004604
bacteremia,0004610
bacterial pneumonia,0004626
bactermia,0004610
balance issues,0241981
bandemia,0741439
basal cell carcinoma of the face,1304291
basal cell carcinoma,0007117
basilar stenosis,0265097
belching,0014724
benign bony lesion,UI-less
benign,UI-less
bicuspid aortic valve,0149630
bilateral perihilar haziness,UI-less
bilateral pleural effusion,0747635
bilateral pleural effusions,0747635
biphasic T waves,UI-less
bipolar disorder,0005586
birthmark,0265974
black stool,0025222
black tarry stool,0025222
bleed,0019080
bleeding blood vessel,0264940
bleeding disorder,1458140
bleeding diverticula,0581360
bleeding diverticula,UI-less
bleeding hemorrhoids,0265031
bleeding varices,0333106
bleeding vessel,0264940
bleeding vessels,0264940
bleeding,0019080
blockages,0264995
blocked premature atrial contractions,0428990
blood loss,0019080
blood pressure stable,UI-less
blood pressure,UI-less
blurring disc margins,UI-less
blurry vision,0344232
bone destruction,0587240
bony erosions,0587240
bowel ischemia,0341424
bowel loops,UI-less
bowel obstruction,0021843
bowel obstruction,0235329
bowel symptoms,UI-less
brady,0428977
bradycardia,0428977
bradycardiac,0428977
bradycardic,0428977
brain dead,UI-less
brain death,UI-less
brain involvement,UI-less
brain stem reflexes,UI-less
brain tumor,0006118
breath sounds diminished,UI-less
bright red blood per rectum,UI-less
bright red blood,UI-less
broad ligament fibroid,0404480
bronchial BS,0231873
bronchial secretions,UI-less
bronchitis,0006277
bruise on forhead,0432747
bruising,0009938
bruit,UI-less
bruits,UI-less
bullae,0005758
bullous disease,0263220
burning,0085624
c,0010520
c,0085593
c,0149651
cachectic,0006625
cad,1956346
calcifications,UI-less
calciphylaxis,0006666
can't walk,UI-less
cancer,0006826
cancers,0006826
cannot swallow,UI-less
cardiac arrest,0018790
cardiac arrhythmia,0003811
cardiac disease,0018799
cardiac enzyme fractions,UI-less
cardiac enzymes normal,UI-less
cardiac enzymes,UI-less
cardiac event,UI-less
cardiac failure,0018801
cardiac index supranormal,UI-less
cardiac risk factors,UI-less
cardioembolic event,1531624
cardiomegaly,UI-less
cardiomyopathy,0878544
cardiopulmonary abnormality,UI-less
cardiopulmonary process,UI-less
carotid bruits,UI-less
carotid disease,0007273
carotid stenosis,0007282
cataract,0086543
cataracts,0086543
cellulitis,0007642
cephalization,UI-less
cerebral aneurysm,0917996
cerebral edema,0006114
cerebral ischemia,0917798
cerebral vascular accident,0038454
cerebrovascular accident,0038454
change in mental status,0278061
changes cardiac function,UI-less
changes on EKG,UI-less
changes with subcutaneous air,UI-less
chemical pneumonitis,0264458
chest discomfort with exertion,0232288
chest discomfort,0235710
chest pain on exersion,0232288
chest pain radiated,0232289
chest pain with exertion,0232288
chest pain,0008031
chest pains,0008031
chest pressure,0438716
chest tightness,0232292
chills,0085593
choking,UI-less
cholecystitis,0008325
chronic abdominal pain,0232491
chronic atrial fibrillation,0694539
chronic cough,0010201
chronic hep C,0524910
chronic hepatitis B,0524909
chronic kidney failure,0022661
chronic low back pain,0457949
chronic obstructive pulmonary disease,0024117
chronic pain,0150055
chronic parenchymal disease,UI-less
chronic renal failure,0022661
chronic renal insufficiency,0022661
chronic schizophrenia,0221765
chronic ventilatory dependence,UI-less
chronically infected,0151317
circumferential,UI-less
cirrhosis of the liver,0023890
cirrhosis,0023890
cirrohsis,0023890
claudication,1458622
clinical change,UI-less
clot,0302148
clubbing,0149651
clustered bronchial markings,UI-less
coagulopathy,0005779
coarse breath sounds,UI-less
coarse sounds,UI-less
cocaine o/d,0573196
coffee ground emesis,1510416
coffee grounds,UI-less
collapse,0004144
collapse,UI-less
collapsed,UI-less
collection,UI-less
colon adenocarcinoma,0338106
colon carcinoma,0699790
colonization,UI-less
combative,UI-less
comfort measures,UI-less
common iliac aneurysm,0700638
community acquired pneumonia,0694549
community-acquired pneumonia,0694549
compalints,UI-less
complaints,0231217
complaints,UI-less
complete effacement,UI-less
complete heart block,0151517
complication,0009566
complication,0032787
complications,0009566
complications,UI-less
compresses cord,0037926
compresses spinal cord,0037926
compression fractures,0521169
compression,UI-less
compromised bowel,UI-less
concering sign,UI-less
conduction abnormality,0232219
conduction disease,0264886
confused,0009676
confusion,0009676
congestive failure,0018802
congestive heart failure,0018802
conolidation,0521530
consolidation,0521530
consolidations,0521530
constipation,0009806
contractures,0009917
contraindication,UI-less
copious amount of secretions,UI-less
corn,0010046
corneal on L,UI-less
corneal on R,UI-less
coronary artery disease,1956346
coronary artery stenosis,0242231
coronary disease,0010068
cortical dysfunction,UI-less
cortical irritability,UI-less
costovertebral tenderness,0235634
cough productive,0239134
cough,0010200
coughing,0010200
could not breathe,UI-less
course BS,UI-less
course upper airway sounds,UI-less
crackles,0034642
creatinine bumped,UI-less
creatinine decreased,UI-less
creatinine down,UI-less
crohn's,0010346
crushing chest pain,0232290
cyanosis,0010520
cyanotic,0010520
cycling anabolic steroids,0338671
cystic collection,UI-less
cystic collectionan,UI-less
cystic,0010709
cystinuria,0010691
dark blood,UI-less
dark tarry stools,0025222
death,UI-less
decompressed,UI-less
decrease blood pressure,0232107
decreased BS,UI-less
decreased HR,0428977
decreased bolus control,UI-less
decreased breath sounds,UI-less
decreased bs,UI-less
decreased bulk,UI-less
decreased level of consciousness,UI-less
decreased oral intake,UI-less
decreased pinprick,UI-less
decreased range of motion,UI-less
decreased sensation to light touch,0752255
decreased vibration,UI-less
decreasing Trop,UI-less
deep Q waves,UI-less
deep sulcus sign,UI-less
deep vein thrombosis,0149871
defect,0302142
defect,UI-less
defects,0302142
defervescence,UI-less
deformed,0302142
degenerative joint disease,0029408
degenerative,0011164
dehydrated,0011175
dehydration,0011175
delerium tremens,0001957
delerium,0011206
delirious mental status changes,UI-less
delirium,0011206
dementia,0497327
density,UI-less
depressed CI,UI-less
depressed DTRs,UI-less
depressed LV systolic function,UI-less
depressed LVEF,UI-less
depressed MS,0278061
depressed affect,UI-less
depressed cardiac index,UI-less
depressed,1579931
depression,0011570
depression,0011581
desatureated,UI-less
descending thoracic   aorta dilated,UI-less
deterioration of mental status,UI-less
deviation of eyes,0339614
diabetes mellitus type II,0011860
diabetes mellitus,0011849
diabetes type 2,0011860
diabetes,0011849
diabetes,0011860
diabetic,0011849
diaphoresis,0700590
diaphoretic,0700590
diarrhea,0011991
diastolic HTN,0235222
diastolic chf,UI-less
diastolic dysfunction,0520863
diastolic murmur,0232262
difficulty breathing,0013404
difficulty eating,UI-less
difficulty speaking,1527347
difficulty swallowing,0011168
difficulty writing,0584995
dilatation,0012359
dilated LV,0344911
dilated RA,0344709
dilated aortic root,0238669
dilated ascending aorta,0345049
dilated cardiomyopathy,0007193
dilated left atrium,0344720
dilated pupils,UI-less
dilated right atrium,0344709
dilated,0012359
dimished bs,UI-less
dimples,UI-less
disc degeneration,0158266
discharge,UI-less
discoid atelectasis,0264494
discomfort,0231218
discomfort,UI-less
disease,0012634
diseased,0012634
dismal prognosis,UI-less
disoriented,0233407
dissection abdominal aorta,0837143
dissection iliac,0340649
dissection,UI-less
distal asymmetry,UI-less
distal flow,UI-less
distant HS,UI-less
distention,0012359
distress,UI-less
distressed breathing,0476273
diverticulitis,0012813
diverticulosis,1510475
dizziness,0012833
dizzy,0012833
dolls,0234446
double vision,0012569
drainage from incision site,UI-less
drainage from incision,UI-less
drainage site,1272590
